word,count,file
kı,2130,
\v,2015,
ra,1285,
de,1203,
\p,936,
rê,879,
İsay,827,
xo,784,
vat:,629,
ki,620,
sıma,555,
inan,502,
bı,405,
iy,387,
mın,362,
jü,302,
İsa,301,
bi,295,
u,283,
nia,279,
ez,274,
ni,271,
Heqi,264,
to,248,
\w,235,
"bi,",228,
bi.,206,
na,197,
"de,",171,
lê,167,
ma,160,
Feqet,155,
saba,154,
Sıma,154,
o,147,
asmên,141,
"ra,",140,
i,134,
qeşi,134,
uca,132,
wertê,132,
tı,130,
her,128,
pêro,125,
lacê,118,
cı,116,
pers,115,
feqet,114,
İnan,114,
Piyê,114,
\s1,110,
peyser,110,
a,109,
"kerd,",108,
ay,106,
qesanê,106,
çiyê,105,
şi,104,
Ez,102,
Ekı,99,
amay,98,
dina,98,
mı,97,
hez,97,
mêrık,96,
Yahudiyan,94,
mêrıki,93,
waxt,92,
qe,91,
mıleti,89,
Lacê,89,
"pê,",87,
jüyê,86,
pia,85,
kerd,84,
Ni,84,
A,83,
Key,82,
kerdi,82,
senên,81,
telebanê,79,
ninan,76,
Çıkı,76,
"ser,",73,
key,73,
dano,72,
no,72,
esti,71,
\q2,71,
suka,70,
dı,70,
Owo,70,
owo,70,
\s,70,
kê,69,
da,69,
Ay,68,
mabênê,67,
Bado,67,
nay,66,
Nay,66,
"keno,",66,
mordemê,65,
Roca,65,
sêr,64,
ama,64,
vaceri:,64,
No,63,
dıma,62,
+,61,
\fr,61,
ra.,61,
qesan,61,
serê,61,
kes,60,
itıqatê,60,
\ft,59,
\q1,58,
Petrusi,58,
keno,57,
xo'a,57,
zê,56,
Meyremı,56,
Yahyay,55,
ro,55,
pê,55,
"vano,",55,
rastiye,54,
zaf,53,
Na,53,
iyê,53,
se,53,
merdenı,53,
keno.,52,
veng,52,
namê,51,
Heq,51,
hona,51,
ca,51,
cinıkı,51,
beno,50,
verê,50,
"xo,",50,
heqa,50,
1,48,
çi,48,
mıletê,48,
day,48,
daa,48,
2,47,
5,47,
10,47,
11,47,
12,47,
13,47,
18,47,
19,47,
20,47,
21,47,
3,46,
4,46,
6,46,
7,46,
8,46,
kerdenê.,46,
9,46,
ancia,46,
14,46,
15,46,
16,46,
17,46,
İyê,46,
22,46,
23,46,
24,46,
hini,46,
cayê,46,
\c,45,
25,45,
nıka,45,
qebul,45,
nas,45,
biye.,44,
"mın,",44,
ray,44,
teyna,43,
telebê,43,
mıno,43,
ê,42,
mılet,42,
İy,42,
kerdi.,42,
26,42,
des,42,
Hukumdariya,42,
canê,42,
sayidinı,41,
"di,",41,
Tı,41,
28,41,
29,41,
27,41,
piyê,41,
kamo,40,
\fq,40,
çay,40,
çık,40,
"kerdenê,",39,
30,39,
"dıma,",39,
weşiya,39,
31,38,
vengê,38,
ya,38,
kerd.,38,
bıderê,38,
wayirê,38,
Mın,37,
Rowo,37,
"ya,",37,
hata,37,
"vat,",37,
32,37,
33,37,
êno,37,
bıkerê.,36,
34,36,
\b,36,
nejdiyê,36,
Her,36,
Kamo,36,
sımao,36,
zerria,35,
35,35,
"beno,",35,
dest,35,
thaba,35,
bilı,35,
zêdı,35,
awkı,35,
eşiya,34,
kêf,34,
çımê,34,
ser.,34,
mêrıko,34,
"ro,",34,
Jü,34,
vati,34,
"kenê,",34,
Welatê,33,
inam,33,
36,33,
37,33,
pêronan,33,
gos,33,
nan,33,
kesi,33,
nıta,33,
38,32,
bê,32,
şukır,32,
Mordemi,32,
"ki,",32,
Pilatusi,32,
xeylê,31,
sas,31,
say,31,
koti,31,
çiyo,31,
"ama,",31,
nınganê,31,
gereko,31,
nêşkino,31,
Ma,30,
Pêxember,30,
vatena,30,
kerd:,30,
"kerdi,",30,
“Sıma,30,
rınd,29,
mordemi,29,
sero,29,
39,29,
deqa,29,
kami,29,
fam,29,
bıkerê,29,
sukı,29,
Telebanê,29,
binan,29,
mezelı,29,
"kerdê,",28,
"bıkerê,",28,
mın'a,28,
bıkero.,28,
xo.,28,
"vanê,",28,
40,28,
wes,28,
Şabati,28,
Simun,28,
ekı,28,
itıqat,28,
"""Sıma",28,
Mesih,27,
rüyê,27,
O,27,
rocı,27,
yan,27,
Uca,27,
"êno,",27,
qesa,26,
Mıleti,26,
Celile,26,
41,26,
berc,26,
mesela,26,
İ,26,
roca,26,
roştia,26,
jübini,26,
bini,26,
"İsay,",26,
bıraê,25,
en,25,
benê,25,
dormê,25,
vaftiz,25,
nı,25,
waaz,25,
ro.,25,
rey,25,
çıkı,25,
çarmıx,25,
"""Tı",25,
"dero,",24,
eşiyay,24,
"bıkero,",24,
42,24,
"derê,",24,
Hata,24,
ef,24,
Qanunê,24,
halê,24,
raya,23,
ver,23,
hetê,23,
wazeno,23,
xeberı,23,
"we,",23,
cinıka,23,
